AccessionNumber_TBDSven;Sample;Associatednumber;DNA_concentration_ng.uL;Station;StationNumber;Stromkilometer;Sample_type;Sample_date;Sat_O2_TBDHereon;Temperature_TBDHereon;Salinity_TBDHereon;Turbidity_TBDHereon;pH_TBDHereon;O2_TBDHereon;SPM_mgperL;DOC_mg.L;TN_mg.L;DIC_mg.L;Silicate_mg.L;Ammonium_mg.L;Nitrite_mg.L;Nitrate_mg.L;Total_DIN_µM;SRP_mgperL;TotalDissolvedPhosphate_mg.L;Ammonium_µM;Nitrite_µM;Nitrate_µM;SRP_µM;Phosphate_µM;Silicate_µM;DOC_uM.L;DIC_uM.L;RespirationRate_O2ug.L.h;POC_mgperL;PTC_mgperL;PTN_mgperL;PTH_mgperL;BioSample;ERANumber
SAMEA110290274;TL1;26;72;Twielenfleth;3;651,955;Light_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;1,976,666,667;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;6,891,887,314;1,215,776,446;4,192,671,154;29,456,706;SAMEA110290274;ERS12387882
SAMEA110290275;TL2;27;26;Twielenfleth;3;651,955;Light_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;1,976,666,667;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;5,827,518,337;1,044,632,984;451,767,681;274,929,256;SAMEA110290275;ERS12387883
SAMEA110290276;TH1;28;18;Twielenfleth;3;651,955;Heavy_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;13,3;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;5,827,518,337;7,160,925,229;3,770,458,368;216,015,844;SAMEA110290276;ERS12387884
SAMEA110290277;TH2;29;200;Twielenfleth;3;651,955;Heavy_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;13,3;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;5,879,558,518;7,114,776,389;2,480,254,645;225,834,746;SAMEA110290277;ERS12387885
SAMEA110290278;TF1;30;2,04;Twielenfleth;3;651,955;Free_living;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;326,4;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;;;;;SAMEA110290278;ERS12387886
SAMEA110290279;TF2;31;6;Twielenfleth;3;651,955;Free_living;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;326,4;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;;;;;SAMEA110290279;ERS12387887
SAMEA110290280;BbL1;32;13;Brunsbüttel;5;692,01;Light_fraction;Mai 21;79,11;10,63;1,3;63.01;8;274,68;1,176,666,667;80,185;24,975;22,885;;0,362;0,066;95,78;96,21;NA;;0,362;0,066;95,78;NA;1,009;34,905;667,613,045;1,905,384,366;;1,762,492,909;2,904,431,212;3,997,275,004;166,921,334;SAMEA110290280;ERS12387888
SAMEA110290281;BbL2;33;7,4;Brunsbüttel;5;692,01;Light_fraction;Mai 21;79,11;10,63;1,3;63.01;8;274,68;1,176,666,667;80,185;24,975;22,885;;0,362;0,066;95,78;96,21;NA;;0,362;0,066;95,78;NA;1,009;34,905;667,613,045;1,905,384,366;;2,096,335,577;3,341,372,351;1,653,503,097;137,464,628;SAMEA110290281;ERS12387889
SAMEA110290282;BbH1;34;16;Brunsbüttel;5;692,01;Heavy_fraction;Mai 21;79,11;10,63;1,3;63.01;8;274,68;12,9;80,185;24,975;22,885;;0,362;0,066;95,78;96,21;NA;;0,362;0,066;95,78;NA;1,009;34,905;667,613,045;1,905,384,366;;1,898,975,647;2,871,046,945;0,988763431;117,826,824;SAMEA110290282;ERS12387890
SAMEA110290283;BbH2;35;25;Brunsbüttel;5;692,01;Heavy_fraction;Mai 21;79,11;10,63;1,3;63.01;8;274,68;12,9;80,185;24,975;22,885;;0,362;0,066;95,78;96,21;NA;;0,362;0,066;95,78;NA;1,009;34,905;667,613,045;1,905,384,366;;2,189,615,146;3,505,348,014;1,578,879,442;127,645,726;SAMEA110290283;ERS12387891
SAMEA110290284;BbF1;36;2,05;Brunsbüttel;5;692,01;Free_living;Mai 21;79,11;10,63;1,3;63.01;8;274,68;89,25;80,185;24,975;22,885;;0,362;0,066;95,78;96,21;NA;;0,362;0,066;95,78;NA;1,009;34,905;667,613,045;1,905,384,366;;;;;;SAMEA110290284;ERS12387892
SAMEA110290285;BbF2;37;2,06;Brunsbüttel;5;692,01;Free_living;Mai 21;79,11;10,63;1,3;63.01;8;274,68;89,25;80,185;24,975;22,885;;0,362;0,066;95,78;96,21;NA;;0,362;0,066;95,78;NA;1,009;34,905;667,613,045;1,905,384,366;;;;;;SAMEA110290285;ERS12387893
SAMEA110290286;ML1;39;78;Mühlenberger Loch;2;632,88;Light_fraction;Jul 21;56,63;22,11;0,32;37.71;7,51;153,78;17;6,818;1,163;18,36;;0,058;0,068;2,527;189,02;0,081;0,079143;1,88;2,85;184,3;NA;2,65;147,61;5,676,605,027;1,528,636,965;;1,759,547,238;2,097,317,467;2,930,942,247;0,88370118;SAMEA110290286;ERS12387894
SAMEA110290287;ML2;40;4,56;Mühlenberger Loch;2;632,88;Light_fraction;Jul 21;56,63;22,11;0,32;37.71;7,51;153,78;17;6,447;0,9963;16,45;;0,046;0,046;1,786;189,02;0,07;0,081975;1,88;2,85;184,3;NA;2,65;147,61;5,367,713,789;1,369,612,096;;1,551,386,516;2,005,019,788;2,366,355,382;0,78551216;SAMEA110290287;ERS12387895
SAMEA110290288;MH1;41;22;Mühlenberger Loch;2;632,88;Heavy_fraction;Jul 21;56,63;22,11;0,32;37.71;7,51;153,78;21;6,818;1,163;18,36;;0,058;0,068;2,527;189,02;0,081;0,079143;1,88;2,85;184,3;NA;2,65;147,61;5,676,605,027;1,528,636,965;;181,846,065;2,150,339,538;3,424,833,018;0,88370118;SAMEA110290288;ERS12387896
SAMEA110290289;MH2;42;35;Mühlenberger Loch;2;632,88;Heavy_fraction;Jul 21;56,63;22,11;0,32;37.71;7,51;153,78;21;6,447;0,9963;16,45;;0,046;0,046;1,786;189,02;0,07;0,081975;1,88;2,85;184,3;NA;2,65;147,61;5,367,713,789;1,369,612,096;;1,771,329,921;2,194,524,597;333,940,857;0,88370118;SAMEA110290289;ERS12387897
SAMEA110290290;MF1;43;45;Mühlenberger Loch;2;632,88;Free_living;Jul 21;56,63;22,11;0,32;37.71;7,51;153,78;NA;6,818;1,163;18,36;;0,058;0,068;2,527;189,02;0,081;0,079143;1,88;2,85;184,3;NA;2,65;147,61;5,676,605,027;1,528,636,965;;;;;;SAMEA110290290;ERS12387898
SAMEA110290291;MF2;44;7;Mühlenberger Loch;2;632,88;Free_living;Jul 21;56,63;22,11;0,32;37.71;7,51;153,78;NA;6,447;0,9963;16,45;;0,046;0,046;1,786;189,02;0,07;0,081975;1,88;2,85;184,3;NA;2,65;147,61;5,367,713,789;1,369,612,096;;;;;;SAMEA110290291;ERS12387899
SAMEA110290292;SchL1;45;4,62;Schwarztonnensand;4;665,41;Light_fraction;Jul 21;63,44;22,75;0,48;33.2;7,69;170,12;38,25;4,55;0,7296;13,44;;0,026;0,006;2,317;170,52;0,093;0,111125;0,372;0,122;170,026;NA;2,804;114,43;3,788,288,776;1,119,002,223;;3,885,339,521;613,779,564;2,139,538,746;19,637,804;SAMEA110290292;ERS12387900
SAMEA110290293;SchL2;46;19;Schwarztonnensand;4;665,41;Light_fraction;Jul 21;63,44;22,75;0,48;33.2;7,69;170,12;38,25;4,498;0,6619;14,04;;0,023;0,006;1,429;170,52;0,09;0,09477;0,372;0,122;170,026;NA;2,804;114,43;3,744,994,047;1,168,957,679;;2,907,376,882;4,052,260,855;319,016,126;19,637,804;SAMEA110290293;ERS12387901
